repo	remote_branches	trunk	local_folder	remote_url
materials	76	arka/mat-kostyak	materials	https://github.com/d1-d57/materials.git
disciplina	627	main	disciplina	https://github.com/d1-d57/disciplina.git
spetsmat-179	136	main	spetsmat-bot	https://github.com/d1-d57/spetsmat-179.git
matproekty-179	9	main	matproekty-179	https://github.com/d1-d57/matproekty-179.git
matproekty-179-stranica	1	main	matproekty-179-stranica	https://github.com/d1-d57/projects.git
ankety	3	main	ankety	https://github.com/d1-d57/ankety.git
moskva	2	main	moskva	https://github.com/d1-d57/moskva.git
matema-fest	2	main	matema-fest	https://github.com/d1-d57/matema-fest.git
digest	3	main	matemdigest-map	https://github.com/d1-d57/digest.git
arhiv-london-avgust-2026	5	main	arhiv-london-avgust-2026	https://github.com/d1-d57/arhiv-london-avgust-2026.git
sayt-sistemy-konstantinova	4	main	sayt-sistemy-konstantinova	https://github.com/d1-d57/sayt-sistemy-konstantinova.git
