time	repo	local_branch	tip	result	restore
2026-09-25 12:24	materials	zahod/chistka-hvostov	70c888dd9f4dbb3b2905c2ed63c158cc77f905a7	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/materials branch zahod/chistka-hvostov 70c888dd9f4dbb3b2905c2ed63c158cc77f905a7
2026-09-25 12:24	materials	zahod/dobivka-dolgov	8fce8cf5e7f68b1a962d969a75c3b0b68a9ca1fb	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/materials branch zahod/dobivka-dolgov 8fce8cf5e7f68b1a962d969a75c3b0b68a9ca1fb
2026-09-25 12:24	materials	zahod/dovodka-fazy-intervyu	a0e3e18c1b73087c4dbc7d3a9fee86c9d1137f5c	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/materials branch zahod/dovodka-fazy-intervyu a0e3e18c1b73087c4dbc7d3a9fee86c9d1137f5c
2026-09-25 12:24	materials	zahod/uborka-pered-pauzoj	34c9a4eef904515065c17e760ae1142af58ff413	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/materials branch zahod/uborka-pered-pauzoj 34c9a4eef904515065c17e760ae1142af58ff413
2026-09-25 12:24	materials	zahod/vlit-i-uspokoitsya	e6fd580d13697bf772feb6e02c9abd9c609eee89	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/materials branch zahod/vlit-i-uspokoitsya e6fd580d13697bf772feb6e02c9abd9c609eee89
2026-09-25 12:24	materials	zahod/vlitie-i-vitrina-kursa	e21a4bae3f900640726b9c8e5fd2e795e4604cf0	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/materials branch zahod/vlitie-i-vitrina-kursa e21a4bae3f900640726b9c8e5fd2e795e4604cf0
2026-09-25 12:24	disciplina	zahod/baza-i-srez-pri-podyome	9ceedcb38a9a27325da93a394553893b3c2368a2	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/baza-i-srez-pri-podyome 9ceedcb38a9a27325da93a394553893b3c2368a2
2026-09-25 12:24	disciplina	zahod/cena-volny-snimaetsya-instrumentom	c59a67577c4274aaa74643b45bfe2ac37493de9e	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/cena-volny-snimaetsya-instrumentom c59a67577c4274aaa74643b45bfe2ac37493de9e
2026-09-25 12:24	disciplina	zahod/dajdzhest-otvyazka-ot-repo	5517f5b544fe3753e8817a5e2985317e75b1d680	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/dajdzhest-otvyazka-ot-repo 5517f5b544fe3753e8817a5e2985317e75b1d680
2026-09-25 12:24	disciplina	zahod/dirizher-klass-prichiny-mashinno	9500e64d39165374e10c96a4bbd70d2275b2ed53	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/dirizher-klass-prichiny-mashinno 9500e64d39165374e10c96a4bbd70d2275b2ed53
2026-09-25 12:24	disciplina	zahod/faza-uborki-razrezana	6ed2d970f0d89010119592f3b9103a9933e11424	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/faza-uborki-razrezana 6ed2d970f0d89010119592f3b9103a9933e11424
2026-09-25 12:24	disciplina	zahod/generator-startovaya-stroka	263ecd3f40cf6f44c80bee458328559a7606709d	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/generator-startovaya-stroka 263ecd3f40cf6f44c80bee458328559a7606709d
2026-09-25 12:24	disciplina	zahod/hvosty-d10	6ed2d970f0d89010119592f3b9103a9933e11424	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/hvosty-d10 6ed2d970f0d89010119592f3b9103a9933e11424
2026-09-25 12:24	disciplina	zahod/hvosty-vynosa	84e9535fc9b0b9e0633664549092928f82d4b11b	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/hvosty-vynosa 84e9535fc9b0b9e0633664549092928f82d4b11b
2026-09-25 12:24	disciplina	zahod/kanon-mandata-v-generatore	4e6a47130c88db003229a91b74749bd1d50befab	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/kanon-mandata-v-generatore 4e6a47130c88db003229a91b74749bd1d50befab
2026-09-25 12:24	disciplina	zahod/karta-mashiny-orkestratora	38438d2e72d81d5e0ab41182b7350f9f386228ad	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/karta-mashiny-orkestratora 38438d2e72d81d5e0ab41182b7350f9f386228ad
2026-09-25 12:24	disciplina	zahod/kartochka-uroka-chem-i-predmet	38438d2e72d81d5e0ab41182b7350f9f386228ad	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/kartochka-uroka-chem-i-predmet 38438d2e72d81d5e0ab41182b7350f9f386228ad
2026-09-25 12:24	disciplina	zahod/mandat-atomarnaya-zapis-i-lint	dbedab429cdd50e761d8b1f97cf20eb685c95f12	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/mandat-atomarnaya-zapis-i-lint dbedab429cdd50e761d8b1f97cf20eb685c95f12
2026-09-25 12:24	disciplina	zahod/ostatok-generatora	0ebd89d8881f2c25423dde240951b2b0dcf5b1d9	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/ostatok-generatora 0ebd89d8881f2c25423dde240951b2b0dcf5b1d9
2026-09-25 12:24	disciplina	zahod/pechat-imeni-ne-vyzov	38438d2e72d81d5e0ab41182b7350f9f386228ad	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/pechat-imeni-ne-vyzov 38438d2e72d81d5e0ab41182b7350f9f386228ad
2026-09-25 12:24	disciplina	zahod/pokrytie-chtenie-i-klassifikaciya	9500e64d39165374e10c96a4bbd70d2275b2ed53	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/pokrytie-chtenie-i-klassifikaciya 9500e64d39165374e10c96a4bbd70d2275b2ed53
2026-09-25 12:24	disciplina	zahod/pokrytie-geyt-i-schyotchik	57c7a09a8d749acc3f409e0fda4cc108e365cd03	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/pokrytie-geyt-i-schyotchik 57c7a09a8d749acc3f409e0fda4cc108e365cd03
2026-09-25 12:24	disciplina	zahod/priyomka-g3-g12-g14-vetka	edc532b3c06681a09425de6f1abf0f5696608712	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/priyomka-g3-g12-g14-vetka edc532b3c06681a09425de6f1abf0f5696608712
2026-09-25 12:24	disciplina	zahod/razmetka-urokov-orkestratora	af0bb9ebbd2468b6755755495071d1d09954009c	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/razmetka-urokov-orkestratora af0bb9ebbd2468b6755755495071d1d09954009c
2026-09-25 12:24	disciplina	zahod/sborka-s4-s7	c58c14241f2ed76089fb604cb1ae82066f437bdd	deleted	git -C /Users/ivanyakovlev/Documents/GitHub/disciplina branch zahod/sborka-s4-s7 c58c14241f2ed76089fb604cb1ae82066f437bdd
