path	size_mb	ext	tracked_in_git
/Users/ivanyakovlev/Documents/GitHub/matemdigest-map/vypuski/.korpus/wiki_teksty.json	223.1	json	no
/Users/ivanyakovlev/Downloads/книжки/Дневник математического кружка.pdf	79.8	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/_fond/biblioteka/nachalka/burago-dnevnik-kruzhka-god-1.pdf	79.8	pdf	no
/Users/ivanyakovlev/Documents/Книги/Прочее/книги/Shapovalov_-Matematicheskie-konstruktsii-ot-khizhin-k-dvortsam-_2015.pdf	78.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Научпоп/Сосинский А.Б. - Узлы. Хронология одной математической теории.pdf	72.6	pdf	not-a-repo
/Users/ivanyakovlev/Documents/клипы/Robin Thicke ft. T.I. and Pharrell - Blurred Lines - 1080HD - [ VKlipe.org ].mp4	66.6	mp4	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Научпоп/Ленинградские_математические_кружки.pdf	63.8	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Прочее/книги/B-001-038-698-06.pdf	48.5	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Научпоп/Перельман - Занимательная математика.pdf	44.4	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/nagliadnaya-geometriya/istochniki/polina/inzhenernoe-origami-deck.pdf	40.3	pdf	no
/Users/ivanyakovlev/Downloads/книжки/Орлин - Математические игры.pdf	39.5	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/_fond/biblioteka/orlin-matematicheskie-igry.pdf	39.5	pdf	no
/Users/ivanyakovlev/Documents/GitHub/spetsmat/_archive/review_artifacts_2026-06-17.zip	35.3	zip	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Геометрия_Топология/М Громов Дифференциальные соотношения с частными производными.pdf	35.2	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Карлин - Основы теории случайных процессов.pdf	35.1	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Логика и множества/Крупский, Плиско - Математическая логика и теория алгоритмов.pdf	35.0	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Научпоп/Математический калейдоскоп Штейнгауз.pdf	34.5	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Комбинаторика/Стенли - Перечислительная комбинаторика. Том 1.pdf	34.3	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Анализ/Stewart, Clegg, Watson - Calculus Early Transcendentals.pdf	31.5	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Прочее/Виленкин - Комбинаторика 6+.pdf	31.0	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teoriya-kategoriy/istochniki/pdf/maclane-ru-fizmatlit2004.pdf	30.2	pdf	no
/Users/ivanyakovlev/Documents/Книги/Вероятность/Ширяев - Броуновское движение и винеровская мера.pdf	30.2	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Готовимся к ЕГЭ/reference/методички_Часть2/15_Шестаков_Неравенства_Задача15.pdf	29.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Алон, Спенсер - Вероятностный метод.pdf	29.4	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Геометрия_Топология/Блинков Гуровиц Непрерывность.pdf	28.9	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Элементарная математика.pdf	27.9	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Графы/Ловас, Пламмер - Прикладные задачи теории графов.pdf	27.5	pdf	not-a-repo
