repo_path	branch	has_upstream	ahead	behind	in_default	last_commit_date	checked_out_in
/Users/ivanyakovlev/Documents/GitHub/ankety	main	yes	4	0	no	2026-09-20T19:13	/Users/ivanyakovlev/Documents/GitHub/ankety
/Users/ivanyakovlev/Documents/GitHub/ankety	zahod/uvedomlenie-shkolnika	yes	0	0	no	2026-09-20T19:13	
/Users/ivanyakovlev/Documents/GitHub/disciplina	main	yes	1309	0	no	2026-09-24T11:20	/Users/ivanyakovlev/Documents/GitHub/disciplina
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/avariynyj-kommit	yes	0	0	yes	2026-09-20T12:59	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/avariynyj-kommit
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/baza-i-srez-pri-podyome	no	n/a	n/a	yes	2026-09-23T01:50	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/baza-i-srez-pri-podyome
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/byudzhety-i-rashod	yes	0	0	no	2026-09-17T11:01	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/byudzhety-i-rashod
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/cena-volny-snimaetsya-instrumentom	no	n/a	n/a	yes	2026-09-06T22:58	
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/chasovoj-ne-podnimaet-zakrytuyu	yes	0	0	yes	2026-09-21T02:17	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-ne-podnimaet-zakrytuyu
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/chasovoj-ne-umiraet-molcha	yes	0	0	yes	2026-09-23T12:36	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-ne-umiraet-molcha
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/chasovoj-zhurnal-volny	no	n/a	n/a	no	2026-09-23T18:21	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-zhurnal-volny
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/dajdzhest-otvyazka-ot-repo	yes	0	0	yes	2026-08-31T21:54	
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/denezhnye-puly-i-proba-zhivosti-modeli	yes	0	0	yes	2026-09-04T15:32	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/denezhnye-puly-i-proba-zhivosti-modeli
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/dengi-v-stroke-kruga	yes	0	0	yes	2026-09-21T15:52	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dengi-v-stroke-kruga
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/diagnoz-odnoj-komandoj	yes	0	0	yes	2026-09-23T14:58	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/diagnoz-odnoj-komandoj
