path	kind	origin_url	head_branch	default_branch	dirty_tracked	untracked	porcelain_before	porcelain_after	size_mb	first_commit_date	last_commit_date	commit_count	newest_file_mtime	readme_title	funnel_rule	funnel_rule_strict	dup_group	fetch	head_in_default	dotgit_birth	status_err	dirty_class
/Users/ivanyakovlev/Documents/GitHub/ankety	main	https://github.com/d1-d57/ankety.git	main	main	1	0	1	1	0.3	2026-08-29T14:28	2026-09-20T19:13	20	2026-09-20T19:28	ankety — анкетный инструмент (Cloudflare Worker + D1)	R3-park	R3-park		ok	no	2026-08-29T16:22		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/avariynyj-kommit	worktree	https://github.com/d1-d57/disciplina.git	zahod/avariynyj-kommit	main	1	1	2	2	263.4	2026-08-06T04:08	2026-09-20T12:59	4671	2026-09-20T12:58	disciplina	R3-park	R3-park		ok	yes	2026-09-20T11:17		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/baza-i-srez-pri-podyome	worktree	https://github.com/d1-d57/disciplina.git	zahod/baza-i-srez-pri-podyome	main	1	0	1	1	222.6	2026-08-06T04:08	2026-09-23T01:50	5620	2026-09-24T03:27	disciplina	R10-wt-residue	R3-park		ok	yes	2026-09-23T01:51		generated-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/byudzhety-i-rashod	worktree	https://github.com/d1-d57/disciplina.git	zahod/byudzhety-i-rashod	main	0	0	0	0	209.4	2026-08-06T04:08	2026-09-17T11:01	4349	2026-09-17T11:00	disciplina	R1-ok	R1-ok		ok	no	2026-09-17T10:43		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-ne-podnimaet-zakrytuyu	worktree	https://github.com/d1-d57/disciplina.git	zahod/chasovoj-ne-podnimaet-zakrytuyu	main	1	1	2	2	215.3	2026-08-06T04:08	2026-09-21T02:17	4920	2026-09-21T02:21	disciplina	R3-park	R3-park		ok	yes	2026-09-20T23:44		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-ne-umiraet-molcha	worktree	https://github.com/d1-d57/disciplina.git	zahod/chasovoj-ne-umiraet-molcha	main	1	1	2	2	226.9	2026-08-06T04:08	2026-09-23T12:36	6021	2026-09-23T12:48	disciplina	R3-park	R3-park		ok	yes	2026-09-23T11:01		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-zhurnal-volny	worktree	https://github.com/d1-d57/disciplina.git	zahod/chasovoj-zhurnal-volny	main	1	0	1	1	233.2	2026-08-06T04:08	2026-09-23T18:21	6585	2026-09-23T18:21	disciplina	R3-park	R3-park		ok	no	2026-09-23T16:24		generated-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dajdzhest-i-kanal	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	0	0	0	0	190.7	2026-08-06T04:08	2026-09-06T04:41	3064	2026-09-06T04:48	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-06T02:54		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/denezhnye-puly-i-proba-zhivosti-modeli	worktree	https://github.com/d1-d57/disciplina.git	zahod/denezhnye-puly-i-proba-zhivosti-modeli	main	0	0	0	0	187.1	2026-08-06T04:08	2026-09-04T15:32	2909	2026-09-04T15:32	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-04T14:38		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dengi-v-stroke-kruga	worktree	https://github.com/d1-d57/disciplina.git	zahod/dengi-v-stroke-kruga	main	0	0	0	0	219.6	2026-08-06T04:08	2026-09-21T15:52	5317	2026-09-21T15:51	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-21T13:52		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/diagnoz-odnoj-komandoj	worktree	https://github.com/d1-d57/disciplina.git	zahod/diagnoz-odnoj-komandoj	main	0	1	1	1	231.8	2026-08-06T04:08	2026-09-23T14:58	6415	2026-09-23T15:07	disciplina	R3-park	R3-park		ok	yes	2026-09-23T13:47		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/diagnoz-orkestratora	worktree	https://github.com/d1-d57/disciplina.git	zahod/diagnoz-orkestratora	main	0	1	1	1	233.3	2026-08-06T04:08	2026-09-23T16:33	6563	2026-09-23T16:46	disciplina	R3-park	R3-park		ok	no	2026-09-23T15:18		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dirizher-klass-prichiny-mashinno	worktree	https://github.com/d1-d57/disciplina.git	zahod/dirizher-klass-prichiny-mashinno	main	0	0	0	0	209.7	2026-08-06T04:08	2026-09-17T12:05	4377	2026-09-17T12:07	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-17T12:07		
