repo	arc	created	last_change	files	has_HANDOFF
materials	_studio/zhurnal/2026-07-16_krivaya-drakona	2026-07-16	2026-07-21	4	no
materials	_studio/zhurnal/2026-07-28_konspekt-l1	2026-07-28	2026-07-30	35	yes
materials	_studio/zhurnal/2026-07-30_dovodka-fabriki	2026-07-30	2026-08-23	127	yes
materials	_studio/zhurnal/2026-07-31_sayt-drakon	2026-07-31	2026-08-01	6	no
materials	_studio/zhurnal/2026-08-02_teorver-plan	2026-08-02	2026-08-02	5	no
materials	_studio/zhurnal/2026-08-07_arhitektura-slajdov	2026-08-07	2026-08-14	81	yes
materials	_studio/zhurnal/2026-08-11_dovodka-L2	2026-08-11	2026-08-14	31	yes
materials	_studio/zhurnal/2026-08-11_dveri-discipliny	2026-08-11	2026-08-14	16	no
materials	_studio/zhurnal/2026-08-11_ochered-zayavok	2026-08-11	2026-08-14	8	no
materials	_studio/zhurnal/2026-08-13_arhitektura-doma	2026-08-13	2026-08-14	20	no
materials	_studio/zhurnal/2026-08-13_nositeli-zahoda	2026-08-13	2026-08-14	8	no
materials	_studio/zhurnal/2026-08-13_vynos-korpusa	2026-08-13	2026-08-15	7	no
materials	_studio/zhurnal/2026-08-14_rychagi-zahodov	2026-08-14	2026-08-16	34	yes
materials	_studio/zhurnal/2026-08-16_git-gigiena	2026-08-16	2026-08-16	8	no
materials	_studio/zhurnal/2026-08-24_obzor-funkciya-putey	2026-08-24	2026-09-19	41	yes
materials	_studio/zhurnal/2026-08-24_razvedka-metodov	2026-08-24	2026-08-24	1	no
materials	_studio/zhurnal/2026-08-27_matproekty-179	2026-08-27	2026-09-17	12	yes
materials	_studio/zhurnal/2026-09-13_uchenik-misha	2026-09-13	2026-09-13	11	yes
materials	_studio/zhurnal/2026-09-24_arhitektura-repozitoriev	2026-09-24	2026-09-24	8	yes
disciplina	_studio/zhurnal/2026-08-13_disciplina-zahodov	2026-08-13	2026-09-21	5	no
disciplina	_studio/zhurnal/2026-08-15_skill-kachestva	2026-08-15	2026-08-31	10	yes
disciplina	_studio/zhurnal/2026-08-16_kt-channel-editor	2026-08-16	2026-08-31	11	yes
disciplina	_studio/zhurnal/2026-08-17_skill-reserch	2026-08-17	2026-09-21	21	no
disciplina	_studio/zhurnal/2026-08-19_vynos-fabriki-arok	2026-08-19	2026-09-23	14	yes
disciplina	_studio/zhurnal/2026-08-20_poryadok-v-metaskillah	2026-08-20	2026-09-23	1191	yes
disciplina	_studio/zhurnal/2026-08-20_proba-avtonomnosti	2026-08-20	2026-08-20	7	yes
disciplina	_studio/zhurnal/2026-08-29_ankety-cloudflare	2026-08-29	2026-08-30	7	no
disciplina	_studio/zhurnal/2026-08-29_korni-posle-vynosa	2026-08-29	2026-09-21	25	yes
disciplina	_studio/zhurnal/2026-08-29_remont-instrumentov	2026-08-29	2026-09-21	28	no
disciplina	_studio/zhurnal/2026-09-01_audit-ritualov-fabriki	2026-09-01	2026-09-01	10	yes
disciplina	_studio/zhurnal/2026-09-05_moskva-kartoteka	2026-09-05	2026-09-21	12	no
disciplina	_studio/zhurnal/2026-09-06_pervyj-server	2026-09-06	2026-09-23	37	yes
disciplina	_studio/zhurnal/2026-09-12_dajdzhest-pochinka	2026-09-12	2026-09-21	7	no
disciplina	_studio/zhurnal/2026-09-12_orkestrator-razbor-i-pochinka	2026-09-12	2026-09-24	712	yes
disciplina	_studio/zhurnal/2026-09-20_recept-kartochka	2026-09-20	2026-09-22	10	yes
