branch	in_trunk	ahead_of_trunk	behind_trunk	last_commit_date	files_changed	top_dirs	merge_dry_run	checked_out_in	proposal
main	yes	0	0	2026-09-24	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina	already-in-trunk
zahod/avariynyj-kommit	yes	0	3194	2026-09-20	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/avariynyj-kommit	already-in-trunk
zahod/baza-i-srez-pri-podyome	yes	0	2245	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/baza-i-srez-pri-podyome	already-in-trunk
zahod/byudzhety-i-rashod	no	3	3519	2026-09-17	2	_generator:2	conflict:_generator/tools/bootstrap_mandate.py	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/byudzhety-i-rashod	conflict
zahod/cena-volny-snimaetsya-instrumentom	yes	0	4330	2026-09-06	0		n/a	-	already-in-trunk
zahod/chasovoj-ne-podnimaet-zakrytuyu	yes	0	2945	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-ne-podnimaet-zakrytuyu	already-in-trunk
zahod/chasovoj-ne-umiraet-molcha	yes	0	1844	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-ne-umiraet-molcha	already-in-trunk
zahod/chasovoj-zhurnal-volny	yes	0	1280	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-zhurnal-volny	already-in-trunk
zahod/dajdzhest-otvyazka-ot-repo	yes	0	6135	2026-08-31	0		n/a	-	already-in-trunk
zahod/denezhnye-puly-i-proba-zhivosti-modeli	yes	0	4956	2026-09-04	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/denezhnye-puly-i-proba-zhivosti-modeli	already-in-trunk
zahod/dengi-v-stroke-kruga	yes	0	2548	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dengi-v-stroke-kruga	already-in-trunk
zahod/diagnoz-odnoj-komandoj	yes	0	1450	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/diagnoz-odnoj-komandoj	already-in-trunk
zahod/diagnoz-orkestratora	yes	0	1302	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/diagnoz-orkestratora	already-in-trunk
zahod/dirizher-klass-prichiny-mashinno	yes	0	3488	2026-09-17	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dirizher-klass-prichiny-mashinno	already-in-trunk
zahod/dirizher-po-zameru	yes	0	657	2026-09-24	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dirizher-po-zameru	already-in-trunk
zahod/dirizher-sostoyanie-volny-storozh-spasenie-dobor	yes	0	4954	2026-09-04	0		n/a	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dirizher-sostoyanie-volny-storozh-spasenie-dobor	already-in-trunk
