branch	in_trunk	ahead_of_trunk	behind_trunk	last_commit_date	files_changed	top_dirs	merge_dry_run	checked_out_in	proposal
arka/katalog-kursa	yes	0	3	2026-09-19	0		n/a	-	already-in-trunk
arka/mat-kostyak	yes	0	0	2026-09-24	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials	already-in-trunk
arka/obzor-funkciya-putey	yes	0	182	2026-08-25	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/obzor-funkciya-putey	already-in-trunk
main	no	29	1641	2026-09-14	123	static:107,buffon:8,layouts:2,.github:1,.gitignore:1,content:1	conflict:.github/workflows/hugo.yml;.gitignore;buffon/README.md;buffon/WORKLIST.md;index.html;+77	-	conflict
zahod/chistka-hvostov	yes	0	299	2026-08-16	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/chistka-hvostov	already-in-trunk
zahod/dobivka-dolgov	yes	0	312	2026-08-16	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/dobivka-dolgov	already-in-trunk
zahod/dovodka-fazy-intervyu	yes	0	937	2026-08-05	0		n/a	-	already-in-trunk
zahod/dovodka-solvera	yes	0	788	2026-08-15	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/dovodka-solvera	already-in-trunk
zahod/graf-korpusa	yes	0	49	2026-09-19	0		n/a	-	already-in-trunk
zahod/kadr-uzor-i-vmeshchenie	yes	0	384	2026-08-15	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/kadr-uzor-i-vmeshchenie	already-in-trunk
zahod/konsolidaciya-korpusa	yes	0	55	2026-09-19	0		n/a	-	already-in-trunk
zahod/modeli-arn	yes	0	621	2026-08-11	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/modeli	already-in-trunk
zahod/obratnyj-progon	yes	0	799	2026-08-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/obratnyj-progon	already-in-trunk
zahod/perepis-diska	no	16	0	2026-09-25	15	_studio:15	clean	/Users/ivanyakovlev/Documents/GitHub/materials-wt/perepis-diska	clean-merge-candidate
zahod/polya-i-uzor	yes	0	514	2026-08-15	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/polya-i-uzor	already-in-trunk
zahod/proba-podnyat-volnu-samotest	yes	0	49	2026-09-19	0		n/a	-	already-in-trunk
zahod/reserch-russkie-kruzhki	yes	0	132	2026-09-14	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/reserch-russkie-kruzhki	already-in-trunk
zahod/sajt-cveta-i-setka	yes	0	97	2026-09-14	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/sajt-cveta-i-setka	already-in-trunk
zahod/sluzhebnye-slajdy	yes	0	406	2026-08-15	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/sluzhebnye-slajdy	already-in-trunk
zahod/solver-v3-dyhanie	yes	0	794	2026-08-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/solver-v3-dyhanie	already-in-trunk
zahod/uborka-materials	no	31	0	2026-09-25	19	_studio:19	clean	/Users/ivanyakovlev/Documents/GitHub/materials-wt/uborka-materials	clean-merge-candidate
zahod/uborka-pered-pauzoj	yes	0	440	2026-08-15	0		n/a	-	already-in-trunk
zahod/vlit-i-uspokoitsya	yes	0	305	2026-08-16	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/vlit-i-uspokoitsya	already-in-trunk
zahod/vlitie-i-vitrina-kursa	yes	0	321	2026-08-16	0		n/a	/Users/ivanyakovlev/Documents/GitHub/materials-wt/vlitie-i-vitrina-kursa	already-in-trunk
