branch	in_trunk	ahead_of_trunk	behind_trunk	last_commit_date	files_changed	top_dirs	merge_dry_run	checked_out_in	proposal
listki-kak-baza-zadach	yes	0	1130	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/listki-kak-baza-zadach	already-in-trunk
main	yes	0	0	2026-09-24	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot	already-in-trunk
pravka/admin-svoyo	yes	0	1138	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/admin-svoyo	already-in-trunk
pravka/kabinet-na-den	yes	0	1139	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/kabinet-na-den	already-in-trunk
pravka/konduit-shirina	yes	0	1141	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/konduit-shirina	already-in-trunk
pravka/konduit-vid	yes	0	1142	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/konduit-vid	already-in-trunk
pravka/lichnoe-v-kartochke	yes	0	1140	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/lichnoe-v-kartochke	already-in-trunk
pravka/moi-stroki	yes	0	1137	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/moi-stroki	already-in-trunk
pravka/oblozhka-listok	yes	0	1143	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/oblozhka-listok	already-in-trunk
sklejka-vhoda-s-serverom	yes	0	1339	2026-09-03	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/sklejka-vhoda-s-serverom	already-in-trunk
veb-priyom-zadach	yes	0	1120	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/veb-priyom-zadach	already-in-trunk
veb-raspredelenie-mvp	yes	0	1368	2026-09-03	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/veb-raspredelenie-mvp	already-in-trunk
veb-vhod-i-obshchee-sostoyanie	yes	0	1364	2026-09-03	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/veb-vhod-i-obshchee-sostoyanie	already-in-trunk
volna-b-server	no	2	577	2026-09-23	24	deploy:14,tests:5,ops:4,doc:1	conflict:deploy/ustanovka.sh	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/volna-b-server	conflict
volna17-bekapy	yes	0	595	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/bekapy	already-in-trunk
volna17-drawio	yes	0	600	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/drawio	already-in-trunk
volna17-listok17alef	yes	0	602	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/listok17alef	already-in-trunk
volna17-reestr	yes	0	602	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/reestr-sajta	already-in-trunk
volna17-rovno	yes	0	600	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/rovno	already-in-trunk
volna17-sreda	yes	0	592	2026-09-21	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/sreda	already-in-trunk
vykatka-tunnel-i-storozh	yes	0	1369	2026-09-03	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vykatka-tunnel-i-storozh	already-in-trunk
zahod/B1-test-organizator	yes	0	500	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B1-test-organizator	already-in-trunk
zahod/B1-v14-vid	no	1	469	2026-09-23	1	veb:1	conflict:veb/razdely/shkolniki.py	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B1-v14-vid	conflict
zahod/B1-v21-konduit	yes	0	495	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B1-v21-konduit	already-in-trunk
zahod/B2-v10-ochered	yes	0	447	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-v10-ochered	already-in-trunk
zahod/C-4d-ubrat	yes	0	219	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/C-4d-ubrat	already-in-trunk
zahod/C-kabinet-shkolnika	yes	0	197	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/C-kabinet-shkolnika	already-in-trunk
zahod/C-urok-raspredelenie	yes	0	111	2026-09-24	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/C-urok-raspredelenie	already-in-trunk
zahod/C-v1-zapis	yes	0	152	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/C-v1-zapis	already-in-trunk
zahod/C-v5-odno-okno	yes	0	128	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/C-v5-odno-okno	already-in-trunk
zahod/P1-yadro	yes	0	1653	2026-09-02	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/P1-yadro	already-in-trunk
zahod/P16-eksport	yes	0	1613	2026-09-02	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/P16-eksport	already-in-trunk
zahod/P17-konstanty	yes	0	1565	2026-09-02	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/P17-konstanty	already-in-trunk
zahod/R1-foto	yes	0	1394	2026-09-03	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/R1-foto	already-in-trunk
zahod/R2-slovar	yes	0	1397	2026-09-02	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/R2-slovar	already-in-trunk
zahod/R3-istochniki	yes	0	1401	2026-09-02	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/R3-istochniki	already-in-trunk
zahod/S1-slot-i-routy	yes	0	1315	2026-09-04	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/S1-slot-i-routy	already-in-trunk
zahod/TEST-uchitel	yes	0	577	2026-09-22	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/TEST-uchitel	already-in-trunk
zahod/V0-sekrety	yes	0	578	2026-09-22	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/V0-sekrety	already-in-trunk
zahod/V14-raspredelenie	yes	0	579	2026-09-22	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/V14-raspredelenie	already-in-trunk
zahod/V19V20-rezervy	yes	0	575	2026-09-22	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/V19V20-rezervy	already-in-trunk
zahod/aktualnyj-listok-naverh-i-dedlajn	yes	0	1154	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/aktualnyj-listok-naverh-i-dedlajn	already-in-trunk
zahod/bekap-avtorizacia	yes	0	1034	2026-09-08	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/bekap-avtorizacia	already-in-trunk
zahod/bystro-i-bezopasno	yes	0	1075	2026-09-08	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/bystro-i-bezopasno	already-in-trunk
zahod/data-i-istoria-kletki	yes	0	1007	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/data-i-istoria-kletki	already-in-trunk
zahod/dozabivka-dolgov-sklejki	yes	0	1184	2026-09-05	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/dozabivka-dolgov-sklejki	already-in-trunk
zahod/dver-sekretov-spisok	yes	0	535	2026-09-22	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/dver-sekretov-spisok	already-in-trunk
zahod/gejt-pravda	yes	0	909	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/gejt-pravda	already-in-trunk
zahod/glavnaya-i-stranicy-listkov	yes	0	1308	2026-09-04	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/glavnaya-i-stranicy-listkov	already-in-trunk
zahod/istoria-zanyatij	yes	0	961	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/istoria-zanyatij	already-in-trunk
zahod/kabinet-plitki	yes	0	700	2026-09-11	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/kabinet-plitki	already-in-trunk
zahod/kanal-diagnostika	yes	0	1020	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/kanal-diagnostika	already-in-trunk
zahod/kanon-verstki	yes	0	1017	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/kanon-verstki	already-in-trunk
zahod/karkas-menyu-kabinet	yes	0	919	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/karkas-menyu-kabinet	already-in-trunk
zahod/konduit-na-prosmotr	yes	0	1145	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/konduit-na-prosmotr	already-in-trunk
zahod/konduit-panel	yes	0	917	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/konduit-panel	already-in-trunk
zahod/lichnaya-stranica-prepodavatelya	yes	0	1156	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/lichnaya-stranica-prepodavatelya	already-in-trunk
zahod/nadzor-zvonit	yes	0	802	2026-09-11	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/nadzor-zvonit	already-in-trunk
zahod/pages-i-materialy	yes	0	1055	2026-09-08	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/pages-i-materialy	already-in-trunk
zahod/paroli-shkolnikov	yes	0	934	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/paroli-shkolnikov	already-in-trunk
zahod/poisk-i-kartochka	yes	0	991	2026-09-10	0		n/a	-	already-in-trunk
zahod/pravila-raspredeleniya	yes	0	1017	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/pravila-raspredeleniya	already-in-trunk
zahod/proba-podnyat-volnu-samotest	yes	0	592	2026-09-21	0		n/a	-	already-in-trunk
zahod/raspil-monolita	yes	0	1160	2026-09-07	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/raspil-monolita	already-in-trunk
zahod/raspredelenie-kolonki	yes	0	869	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/raspredelenie-kolonki	already-in-trunk
zahod/shirina-prep-vdn	yes	0	816	2026-09-11	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/shirina-prep-vdn	already-in-trunk
zahod/skleit-adminku-s-sajtom	yes	0	1190	2026-09-05	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/skleit-adminku-s-sajtom	already-in-trunk
zahod/statistiki-i-grobarij	yes	0	971	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/statistiki-i-grobarij	already-in-trunk
zahod/storozh-vstal	yes	0	1064	2026-09-08	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/storozh-vstal	already-in-trunk
zahod/verstka-raspredeleniya	yes	0	1018	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/verstka-raspredeleniya	already-in-trunk
zahod/vhod-organizatora-dorabotka	yes	0	1310	2026-09-04	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vhod-organizatora-dorabotka	already-in-trunk
zahod/vidy-zadach	yes	0	983	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vidy-zadach	already-in-trunk
zahod/vnesenie-zadach	yes	0	955	2026-09-10	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vnesenie-zadach	already-in-trunk
zahod/vygruzka-v-tablicu	yes	0	1087	2026-09-08	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vygruzka-v-tablicu	already-in-trunk
zahod/zhurnal-setka	yes	0	708	2026-09-11	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/zhurnal-setka	already-in-trunk
zamer/C-v1-baza-759ef40	yes	0	229	2026-09-23	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/zamer-C-v1-baza	already-in-trunk
zamer/baza-457342e	yes	0	793	2026-09-11	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/zamer-baza	already-in-trunk
zamer/noch2-01391ae	yes	0	810	2026-09-11	0		n/a	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/zamer-noch2	already-in-trunk
