repo	path	core.hooksPath
ankety	/Users/ivanyakovlev/Documents/GitHub/ankety	none
disciplina	/Users/ivanyakovlev/Documents/GitHub/disciplina	/Users/ivanyakovlev/Documents/GitHub/disciplina/.githooks
arhiv-london-avgust-2026	/Users/ivanyakovlev/Documents/GitHub/arhiv-london-avgust-2026	none
matema-fest	/Users/ivanyakovlev/Documents/GitHub/matema-fest	none
matemdigest-map	/Users/ivanyakovlev/Documents/GitHub/matemdigest-map	none
materials	/Users/ivanyakovlev/Documents/GitHub/materials	none
matproekty-179-stranica	/Users/ivanyakovlev/Documents/GitHub/matproekty-179-stranica	none
matproekty-179	/Users/ivanyakovlev/Documents/GitHub/matproekty-179	none
moskva	/Users/ivanyakovlev/Documents/GitHub/moskva	none
spetsmat-bot	/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot	.githooks
sayt-sistemy-konstantinova	/Users/ivanyakovlev/Documents/GitHub/sayt-sistemy-konstantinova	none
vanya	/Users/ivanyakovlev/Documents/GitHub/vanya	none
arhiv-carsharing-issledovanie	~/.Trash/carsharing_archive-2026-09-25 (moved in step A)	none
