worktree	saved_ref	local_only_files
/Users/ivanyakovlev/Documents/GitHub/matproekty-179-wt/obyavlenie-a4 [(detached)]	origin/main	ignored files not on GitHub: poster/fonts/;poster/out/
/Users/ivanyakovlev/Documents/GitHub/matproekty-179-wt/razdel-shkolnikam [(detached)]	origin/main	ignored files not on GitHub: scratchpad/razdel-shkolnikam/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/admin-svoyo [pravka/admin-svoyo]	origin/park/2026-09-25/wt-admin-svoyo	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/aktualnyj-listok-naverh-i-dedlajn [zahod/aktualnyj-listok-naverh-i-dedlajn]	origin/dizajn-dobivka	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B1-test-organizator [zahod/B1-test-organizator]	origin/main	ignored files not on GitHub: secrets/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B1-v14-vid [zahod/B1-v14-vid]	origin/park/2026-09-25/wt-B1-v14-vid	ignored files not on GitHub: data/b1-kopiya.db;data/b1-kopiya.db-shm;data/b1-kopiya.db-wal;scratchpad/B1-v14-vid/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B1-v16-dolgi [(detached)]	origin/main	ignored files not on GitHub: data/b2-v16.db;data/b2-v16.db-shm;data/b2-v16.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B1-v21-konduit [zahod/B1-v21-konduit]	origin/main	ignored files not on GitHub: data/b1-v21.db;data/b1-v21.db-shm;data/b1-v21.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-sw5-doc-protiv-koda [(detached)]	origin/main	ignored files not on GitHub: data/b2-doc.db;data/b2-doc.db-shm;data/b2-doc.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-sw5-ekspluatacia-ostatok [(detached)]	origin/main	ignored files not on GitHub: scratchpad/B2-sw5-ekspluatacia-ostatok/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-sw5-izmereniya-i-doc [(detached)]	origin/main	ignored files not on GitHub: data/b2-izmer.db;data/b2-izmer.db-shm;data/b2-izmer.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-sw5-listki-importer [(detached)]	origin/main	ignored files not on GitHub: data/b2-listki.db;data/b2-listki.db-shm;data/b2-listki.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-sw5-vhody-i-privatnost [(detached)]	origin/main	ignored files not on GitHub: data/spetsmat.db
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-v12-uroki [(detached)]	origin/main	ignored files not on GitHub: scratchpad/B2-v12-uroki/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-v14-raskladka [(detached)]	origin/main	ignored files not on GitHub: data/b2-v14r.db;data/b2-v14r.db-shm;data/b2-v14r.db-wal;scratchpad/B2-v14-raskladka/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-v15-listki [(detached)]	origin/main	ignored files not on GitHub: data/b2-v15.db;data/b2-v15.db-shm;data/b2-v15.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-v18-skrytaya-kletka [(detached)]	origin/main	ignored files not on GitHub: data/b2-v18.db;data/b2-v18.db-shm;data/b2-v18.db-wal;data/verifikator.db;data/verifikator.db-shm;+1
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-v2-rychag-verstki [(detached)]	origin/main	ignored files not on GitHub: data/b2-v2.db;data/b2-v2.db-shm;data/b2-v2.db-wal;scratchpad/B2-v2-rychag-verstki/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/B2-v22-auditoriya [(detached)]	origin/main	ignored files not on GitHub: data/b2-v22.db;data/b2-v22.db-shm;data/b2-v22.db-wal;scratchpad/B2-v22-auditoriya/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/bekap-avtorizacia [zahod/bekap-avtorizacia]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/bystro-i-bezopasno [zahod/bystro-i-bezopasno]	origin/park/2026-09-25/wt-bystro-i-bezopasno	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/C-kabinet-shkolnika [zahod/C-kabinet-shkolnika]	origin/main	ignored files not on GitHub: data/C-kabinet-shkolnika.db;data/C-kabinet-shkolnika.db-shm;data/C-kabinet-shkolnika.db-wal
